chave,lat,lon,metodo,extra
BRASILAPI 54800000,,,BrasilAPI,"Moreno,PE"
BRASILAPI 56280000,,,BrasilAPI,"Araripina,PE"
BRASILAPI 13082901,,,BrasilAPI,"Campinas,SP"
BRASILAPI 45604811,,,BrasilAPI,"Itabuna,BA"
BRASILAPI 88050001,,,BrasilAPI,"Florianópolis,SC"
BRASILAPI 54325650,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
BRASILAPI 65235000,,,BrasilAPI,"São Bento,MA"
BRASILAPI 26564200,,,BrasilAPI,"Mesquita,RJ"
BRASILAPI 94440000,,,BrasilAPI,"Viamão,RS"
BRASILAPI 49140000,,,BrasilAPI,"Barra dos Coqueiros,SE"
BRASILAPI 66645001,,,BrasilAPI,"Belém,PA"
BRASILAPI 44460000,,,BrasilAPI,"Itaparica,BA"
BRASILAPI 65975000,,,BrasilAPI,"Estreito,MA"
BRASILAPI 46430000,,,BrasilAPI,"Guanambi,BA"
BRASILAPI 35702372,,,BrasilAPI,"Sete Lagoas,MG"
BRASILAPI 36039080,,,BrasilAPI,"Juiz de Fora,MG"
BRASILAPI 57100000,,,BrasilAPI,"Rio Largo,AL"
BRASILAPI 54345165,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
BRASILAPI 54345160,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
BRASILAPI 55900000,,,BrasilAPI,"Goiana,PE"
BRASILAPI 55495000,,,BrasilAPI,"Agrestina,PE"
BRASILAPI 65690000,,,BrasilAPI,"Colinas,MA"
BRASILAPI 74675090,,,BrasilAPI,"Goiânia,GO"
BRASILAPI 74620430,,,BrasilAPI,"Goiânia,GO"
BRASILAPI 61635365,,,BrasilAPI,"Caucaia,CE"
BRASILAPI 62051402,,,BrasilAPI,"Sobral,CE"
BRASILAPI 65500000,,,BrasilAPI,"Chapadinha,MA"
BRASILAPI 64290000,,,BrasilAPI,"Altos,PI"
BRASILAPI 54130340,,,BrasilAPI,"Jaboatão dos Guararapes,PE"
BRASILAPI 49160000,,,BrasilAPI,"Nossa Senhora do Socorro,SE"
BRASILAPI 67208210,,,BrasilAPI,"Marituba,PA"
BRASILAPI 64603000,,,BrasilAPI,"Picos,PI"
BRASILAPI 65700000,,,BrasilAPI,"Bacabal,MA"
BRASILAPI 64205200,,,BrasilAPI,"Parnaíba,PI"
BRASILAPI 69907701,,,BrasilAPI,"Rio Branco,AC"
BRASILAPI 32669055,,,BrasilAPI,"Betim,MG"
BRASILAPI 75906605,,,BrasilAPI,"Rio Verde,GO"
BRASILAPI 29165740,,,BrasilAPI,"Serra,ES"
BRASILAPI 02283000,,,BrasilAPI,"São Paulo,SP"
BRASILAPI 29167183,,,BrasilAPI,"Serra,ES"
BRASILAPI 65215000,,,BrasilAPI,"Viana,MA"
BRASILAPI 65415000,,,BrasilAPI,"Coroatá,MA"
BRASILAPI 65208000,,,BrasilAPI,"Santa Helena,MA"
BRASILAPI 55304000,,,BrasilAPI,"Garanhuns,PE"
BRASILAPI 78390000,,,BrasilAPI,"Barra do Bugres,MT"
BRASILAPI 68695000,,,BrasilAPI,"Tailândia,PA"
BRASILAPI 88370232,,,BrasilAPI,"Navegantes,SC"
BRASILAPI 55613000,,,BrasilAPI,"Vitória de Santo Antão,PE"
BRASILAPI 07857050,,,BrasilAPI,"Franco da Rocha,SP"
BRASILAPI 07713000,,,BrasilAPI,"Caieiras,SP"
BRASILAPI 26285000,,,BrasilAPI,"Nova Iguaçu,RJ"
BRASILAPI 06768000,,,BrasilAPI,"Taboão da Serra,SP"
BRASILAPI 29345000,,,BrasilAPI,"Marataízes,ES"
BRASILAPI 06709470,,,BrasilAPI,"Cotia,SP"
BRASILAPI 30320760,,,BrasilAPI,"Belo Horizonte,MG"
BRASILAPI 77820596,,,BrasilAPI,"Araguaína,TO"
BRASILAPI 68502290,,,BrasilAPI,"Marabá,PA"
BRASILAPI 68507300,,,BrasilAPI,"Marabá,PA"
BRASILAPI 88102340,,,BrasilAPI,"São José,SC"
